system,comet_score,sid
online-A.0,0.7402100563,609
online-A.0,0.6096707582,551
online-A.0,0.7673689723,972
online-A.0,0.8593652844,934
online-A.0,0.7230369449,636
online-A.0,0.6113302708,567
online-A.0,0.4721491933,550
online-A.0,0.6067586541,435
online-A.0,0.7510945201,503
online-A.0,0.794752717,593
online-A.0,0.6997639537,184
online-A.0,0.7635572553,773
online-A.0,0.5836952329,569
online-A.0,0.8941434026,938
online-A.0,0.7221743464,22
online-A.0,0.8461768627,587
online-A.0,0.7298570275,345
online-A.0,0.890604496,97
online-A.0,0.6387302279,95
online-A.0,0.6746015549,343
online-A.0,0.8837721348,391
online-A.0,0.8141095042,725
online-A.0,0.5877956152,341
online-A.0,0.7830677032,558
online-A.0,0.765077889,446
online-A.0,0.3657274246,690
online-A.0,0.646176815,154
online-A.0,0.5747684836,615
online-A.0,0.569457233,409
online-A.0,0.6714961529,629
online-A.0,0.5767618418,294
online-A.0,0.5338394046,192
online-A.0,0.8695428371,269
online-A.0,0.3858759999,783
online-A.0,0.6277341843,127
online-A.0,0.780883491,420
online-A.0,0.5974384546,746
online-A.0,0.8873310089,383
online-A.0,0.6687144637,560
online-A.0,0.6452737451,710
online-A.0,0.9996109605,381
online-A.0,0.4145151973,483
online-A.0,0.7526667714,453
online-A.0,0.7204363942,699
online-A.0,0.7175701261,167
online-A.0,0.8983930945,523
online-A.0,0.5665195584,891
online-A.0,0.6124811172,856
online-A.0,0.5259301662,519
online-A.0,0.5669442415,742
online-A.0,0.5869556665,794
online-A.0,0.6399769187,449
online-A.0,0.6573811173,139
online-A.0,0.6699358821,434
online-A.0,0.8729585409,452
online-A.0,0.8853418827,367
online-A.0,0.6677718759,169
online-A.0,0.8959142566,55
online-A.0,0.55514884,860
online-A.0,0.685211122,8
online-A.0,0.663792491,242
online-A.0,0.6742566824,722
online-A.0,0.7771618962,67
online-A.0,0.9011880755,253
online-A.0,0.781262517,862
online-A.0,0.7454275489,153
online-A.0,0.7256302238,349
online-A.0,0.8018484116,74
online-A.0,0.6607261896,557
online-A.0,0.5531406403,685
online-A.0,0.8799381852,534
online-A.0,0.5815553665,17
online-A.0,0.5210216641,980
online-A.0,0.7290822864,250
online-A.0,0.6572906971,485
online-A.0,0.8492552638,354
online-A.0,0.6392114162,21
online-A.0,0.7779263854,245
online-A.0,0.5711568594,646
online-A.0,0.6099880934,458
online-A.0,0.6100890636,949
online-A.0,0.8839561939,280
online-A.0,0.6745484471,299
online-A.0,0.5867065191,161
online-A.0,0.7047725916,403
online-A.0,0.7281451821,926
online-A.0,0.8795602322,522
online-A.0,0.9380216002,627
online-A.0,0.703948319,857
online-A.0,0.7081958055,575
online-A.0,0.6895189881,618
online-A.0,0.7675462961,248
online-A.0,0.5763729215,82
online-A.0,0.6691402197,588
online-A.0,0.728133142,342
online-A.0,0.8457298279,25
online-A.0,0.6926892996,10
online-A.0,0.4245577455,246
online-A.0,0.548461318,947
online-A.0,0.7936276793,13
online-A.0,0.8202101588,869
online-A.0,0.7011965513,962
online-A.0,0.8886451125,117
online-A.0,0.3440280557,215
online-A.0,0.3569257259,766
online-A.0,0.2356358469,226
online-A.0,0.7889572978,833
online-A.0,0.6070911288,290
online-A.0,0.3917534053,166
online-A.0,0.6574295163,951
online-A.0,0.7186227441,802
online-A.0,0.9167820811,884
online-A.0,0.7131789327,377
online-A.0,0.848512888,844
online-A.0,0.6453003883,326
online-A.0,0.7722987533,348
online-A.0,0.6808971763,894
online-A.0,0.6049922109,779
online-A.0,0.6772374511,978
online-A.0,0.470338583,918
online-A.0,0.6222230792,112
online-A.0,0.7372037768,3
online-A.0,0.7722239494,959
online-A.0,0.7603170276,554
online-A.0,0.4329834878,83
online-A.0,0.8040825725,564
online-A.0,0.3630883396,788
online-A.0,0.787270546,109
online-A.0,0.6210170984,818
online-A.0,0.7508333325,165
online-A.0,0.4446051121,318
online-A.0,0.8862313032,401
online-A.0,0.6042513251,219
online-A.0,0.6141207814,870
online-A.0,0.6845374703,543
online-A.0,0.554653585,312
online-A.0,0.9981569648,370
online-A.0,0.7382562757,771
online-A.0,0.8290142417,528
online-A.0,0.8431245089,88
online-A.0,0.8260364532,183
online-A.0,0.7322801948,441
online-A.0,0.6854202151,413
online-A.0,0.7275126576,610
online-A.0,0.610868454,107
online-A.0,0.542019546,282
online-A.0,0.6533595324,665
online-A.0,0.7234790921,829
online-A.0,0.6634323597,726
online-A.0,0.8551953435,533
online-A.0,0.7822853327,624
online-A.0,0.6820085645,56
online-A.0,0.8318029046,262
online-A.0,0.5932074785,48
online-A.0,0.6799512506,761
online-A.0,0.584100008,218
online-A.0,0.7209573984,132
online-A.0,0.7159405947,20
online-A.0,0.6028891206,778
online-A.0,0.6582022905,858
online-A.0,0.5936063528,170
online-A.0,0.7326198816,595
online-A.0,0.5895681381,604
online-A.0,0.6553345323,468
online-A.0,0.700150311,352
online-A.0,0.7615891695,270
online-A.0,0.8142564893,41
online-A.0,0.7935906053,42
online-A.0,0.7424598336,263
online-A.0,0.7877217531,511
online-A.0,0.7536864877,631
online-A.0,0.6464502811,308
online-A.0,0.7454903722,142
online-A.0,0.7405709624,563
online-A.0,0.8225131631,52
online-A.0,0.7078158259,499
online-A.0,0.8838746548,175
online-A.0,0.6054725051,811
online-A.0,0.825897634,437
online-A.0,0.7506330609,801
online-A.0,0.816552043,298
online-A.0,0.7898600698,50
online-A.0,0.7611380816,666
online-A.0,0.677891016,31
online-A.0,0.5935922265,495
online-A.0,0.677985847,240
online-A.0,0.6952316165,657
online-A.0,0.7327491641,902
online-A.0,0.7279083133,347
online-A.0,0.5961434245,371
online-A.0,0.8907277584,214
online-A.0,0.790150106,440
online-A.0,0.7550932765,272
online-A.0,0.3060391247,32
online-A.0,0.7249928713,892
online-A.0,0.7397246957,661
online-A.0,0.6867213249,59
online-A.0,0.7119262218,447
online-A.0,0.5515293479,18
online-A.0,0.5690017939,749
online-A.0,0.5959351063,671
online-A.0,0.81651932,598
online-A.0,0.713904202,301
online-A.0,0.612292707,235
online-A.0,0.7356029153,990
online-A.0,0.783500731,49
online-A.0,0.5903576612,728
online-A.0,0.6027447581,898
online-A.0,0.621937871,360
online-A.0,0.8179606795,559
online-A.0,0.8806112409,407
online-A.0,0.6269756556,797
online-A.0,0.9020613432,427
online-A.0,0.4057200551,979
online-A.0,0.6679005027,626
online-A.0,0.7483730912,538
online-A.0,0.5297756195,419
online-A.0,0.623575747,579
online-A.0,0.5320059061,900
online-A.0,0.633731544,385
online-A.0,0.5693725944,36
online-A.0,0.6329469085,931
online-A.0,0.8977493644,574
online-A.0,0.4437049031,999
online-A.0,0.6425904632,619
online-A.0,0.6973162889,799
online-A.0,0.824610889,853
online-A.0,0.6421756148,544
online-A.0,0.6110149026,445
online-A.0,0.681430161,515
online-A.0,0.5340287089,804
online-A.0,0.7192384005,570
online-A.0,0.5174582601,889
online-A.0,0.5806718469,408
online-A.0,0.4255700707,969
online-A.0,0.7445650697,890
online-A.0,0.6768704057,365
online-A.0,0.8082039952,628
online-A.0,0.7013317943,842
online-A.0,0.64381814,941
online-A.0,0.6742673516,576
online-A.0,0.4862951636,194
online-A.0,0.7958058715,57
online-A.0,0.8302791715,960
online-A.0,0.5348806977,295
online-A.0,0.6295563579,378
online-A.0,0.7114030719,114
online-A.0,0.7819110155,852
online-A.0,0.5907807946,40
online-A.0,0.5684440732,38
online-A.0,0.6916380525,809
online-A.0,0.7633876204,120
online-A.0,0.690023303,664
online-A.0,0.4998028874,302
online-A.0,0.4451652467,418
online-A.0,0.726459682,51
online-A.0,0.6494205594,673
online-A.0,0.6574903131,331
online-A.0,0.6728868484,911
online-A.0,0.803834796,356
online-A.0,0.7836458087,867
online-A.0,0.6587168574,251
online-A.0,0.6519482136,23
online-A.0,0.6509414315,317
online-A.0,0.6310075521,442
online-A.0,0.5638785958,187
online-A.0,0.7431046963,470
online-A.0,0.464574337,709
online-A.0,0.6870288849,494
online-A.0,0.6039140224,613
online-A.0,0.7672005296,777
online-A.0,0.7930905223,683
online-A.0,0.2324115932,140
online-A.0,0.5069161057,988
online-A.0,0.7656185627,838
online-A.0,0.7329543233,702
online-A.0,0.6387637258,686
online-A.0,0.8166332841,774
online-A.0,0.5555033088,93
online-A.0,0.5127483606,116
online-A.0,0.6297200322,131
online-A.0,0.7835261822,985
online-A.0,0.7977250218,757
online-A.0,0.6896724701,358
online-A.0,0.7245360017,915
online-A.0,0.6085373163,81
online-A.0,0.5897805691,1
online-A.0,0.6318243742,174
online-A.0,0.7582129836,121
online-A.0,0.7412566543,840
online-A.0,0.5615575314,882
online-A.0,0.6242671609,731
online-A.0,0.7370888591,861
online-A.0,0.6107435822,467
online-A.0,0.6749961972,603
online-A.0,0.5676794648,429
online-A.0,0.700296998,984
online-A.0,0.6505506039,506
online-A.0,0.5623182654,171
online-A.0,0.5574901104,208
online-A.0,0.632723093,373
online-A.0,0.6920495629,28
online-A.0,0.8870079517,549
online-A.0,0.7081403136,994
online-A.0,0.7008642554,800
online-A.0,0.6218442321,775
online-A.0,0.7191845775,344
online-A.0,0.7808722258,848
online-A.0,0.7990345359,935
online-A.0,0.9908784032,99
online-A.0,0.7184601426,133
online-A.0,0.6565407515,817
online-A.0,0.4618086815,325
online-A.0,0.7780741453,924
online-A.0,0.7093443274,904
online-A.0,0.9139334559,995
online-A.0,0.8365382552,450
online-A.0,0.7630490661,305
online-A.0,0.8867334723,992
online-A.0,0.4414535165,29
online-A.0,0.6543383002,293
online-A.0,0.5153647661,1000
online-A.0,0.5494254231,173
online-A.0,0.5781244636,756
online-A.0,0.6472690701,507
online-A.0,0.6229476333,236
online-A.0,0.7024068236,692
online-A.0,0.7700449228,906
online-A.0,0.7004012465,562
online-A.0,0.7253981829,529
online-A.0,0.7145822048,193
online-A.0,0.6674371958,763
online-A.0,0.7941753268,399
online-A.0,0.5126556754,110
online-A.0,0.5936210155,933
online-A.0,0.7364442945,556
online-A.0,0.819907248,145
online-A.0,0.6958221793,645
online-A.0,0.5975627899,487
online-A.0,0.8623852134,845
online-A.0,0.7004726529,292
online-A.0,0.6014102697,322
online-A.0,0.7771090865,864
online-A.0,0.845571816,33
online-A.0,0.8615128994,181
online-A.0,0.7778951526,255
online-A.0,0.4472707808,198
online-A.0,0.6734746099,696
online-A.0,0.5180387497,930
online-A.0,0.7459079623,313
online-A.0,0.7631295323,795
online-A.0,0.4873386621,734
online-A.0,0.694674015,584
online-A.0,0.6341434121,337
online-A.0,0.6102765799,655
online-A.0,0.6180880666,395
online-A.0,0.8256205916,966
online-A.0,0.6740966439,531
online-A.0,0.6425158381,311
online-A.0,0.5734168887,76
online-A.0,0.657971561,45
online-A.0,0.4949547052,27
online-A.0,0.6360530257,886
online-A.0,0.518258214,798
online-A.0,0.8272396922,825
online-A.0,0.4769789875,724
online-A.0,0.8370245099,444
online-A.0,0.7623804808,288
online-A.0,0.8354215026,477
