system,comet_score,sid
Microsoft-WMT19-document-level.6808,0.8105174899,50
Microsoft-WMT19-document-level.6808,0.7451288104,51
Microsoft-WMT19-document-level.6808,0.9411184192,106
Microsoft-WMT19-document-level.6808,0.9998710752,91
Microsoft-WMT19-document-level.6808,0.9082573056,93
Microsoft-WMT19-document-level.6808,0.9184100032,95
Microsoft-WMT19-document-level.6808,0.8593397737,1683
Microsoft-WMT19-document-level.6808,0.8137609363,1685
Microsoft-WMT19-document-level.6808,0.8940528035,1456
Microsoft-WMT19-document-level.6808,0.8827587962,1460
Microsoft-WMT19-document-level.6808,0.7819334269,641
Microsoft-WMT19-document-level.6808,0.8192341924,645
Microsoft-WMT19-document-level.6808,0.712500453,648
Microsoft-WMT19-document-level.6808,0.6915515065,649
Microsoft-WMT19-document-level.6808,0.6465629935,638
Microsoft-WMT19-document-level.6808,0.8577153683,639
Microsoft-WMT19-document-level.6808,0.8683165908,1387
Microsoft-WMT19-document-level.6808,0.8327729106,1086
Microsoft-WMT19-document-level.6808,0.8441776633,1093
Microsoft-WMT19-document-level.6808,0.9346992373,1094
Microsoft-WMT19-document-level.6808,0.8570122123,1098
Microsoft-WMT19-document-level.6808,0.8736338019,341
Microsoft-WMT19-document-level.6808,0.7022832036,343
Microsoft-WMT19-document-level.6808,0.7558018565,344
Microsoft-WMT19-document-level.6808,0.6600081325,345
Microsoft-WMT19-document-level.6808,0.6292606592,598
Microsoft-WMT19-document-level.6808,0.838327229,273
Microsoft-WMT19-document-level.6808,0.8244296908,274
Microsoft-WMT19-document-level.6808,0.8026770949,279
Microsoft-WMT19-document-level.6808,0.848980844,288
Microsoft-WMT19-document-level.6808,0.7876544595,1031
Microsoft-WMT19-document-level.6808,0.7353954315,1036
Microsoft-WMT19-document-level.6808,0.8502421379,635
Microsoft-WMT19-document-level.6808,0.7645466924,636
Microsoft-WMT19-document-level.6808,0.7048615813,634
Microsoft-WMT19-document-level.6808,0.6855177879,529
Microsoft-WMT19-document-level.6808,0.38056463,530
Microsoft-WMT19-document-level.6808,0.9029371142,533
Microsoft-WMT19-document-level.6808,0.6787766218,1660
Microsoft-WMT19-document-level.6808,0.8956747651,1666
Microsoft-WMT19-document-level.6808,0.8689288497,1674
Microsoft-WMT19-document-level.6808,0.5719833374,1677
Microsoft-WMT19-document-level.6808,0.6501185298,1678
Microsoft-WMT19-document-level.6808,0.9687039256,1681
Microsoft-WMT19-document-level.6808,0.7927042842,363
Microsoft-WMT19-document-level.6808,0.7063233852,365
Microsoft-WMT19-document-level.6808,0.8123825788,368
Microsoft-WMT19-document-level.6808,0.7853832245,375
Microsoft-WMT19-document-level.6808,0.8482767344,362
Microsoft-WMT19-document-level.6808,0.8013724089,373
Microsoft-WMT19-document-level.6808,0.2272178829,315
Microsoft-WMT19-document-level.6808,0.4033478498,312
Microsoft-WMT19-document-level.6808,0.7728999853,321
Microsoft-WMT19-document-level.6808,0.7113890648,323
Microsoft-WMT19-document-level.6808,0.6731845737,385
Microsoft-WMT19-document-level.6808,0.8655765653,390
Microsoft-WMT19-document-level.6808,0.9446477294,393
Microsoft-WMT19-document-level.6808,0.7761961222,1585
Microsoft-WMT19-document-level.6808,0.9201732874,1601
Microsoft-WMT19-document-level.6808,0.8308036327,1602
Microsoft-WMT19-document-level.6808,0.9031025767,1609
Microsoft-WMT19-document-level.6808,0.7505859733,1855
Microsoft-WMT19-document-level.6808,0.3786296844,1863
Microsoft-WMT19-document-level.6808,1.010623932,1873
Microsoft-WMT19-document-level.6808,0.7418920398,1471
Microsoft-WMT19-document-level.6808,0.8076328039,1475
Microsoft-WMT19-document-level.6808,0.9363332987,1721
Microsoft-WMT19-document-level.6808,0.4213626385,1717
Microsoft-WMT19-document-level.6808,0.8232089877,653
Microsoft-WMT19-document-level.6808,0.8461802602,665
Microsoft-WMT19-document-level.6808,0.7470674515,253
Microsoft-WMT19-document-level.6808,0.7597865462,298
Microsoft-WMT19-document-level.6808,0.8201608062,877
Microsoft-WMT19-document-level.6808,0.8039146066,931
Microsoft-WMT19-document-level.6808,0.8677042723,937
Microsoft-WMT19-document-level.6808,0.7201201916,939
Microsoft-WMT19-document-level.6808,0.3960750699,921
Microsoft-WMT19-document-level.6808,0.885936141,1897
Microsoft-WMT19-document-level.6808,0.9324065447,1894
Microsoft-WMT19-document-level.6808,0.8889667988,1895
Microsoft-WMT19-document-level.6808,0.8176829219,1888
Microsoft-WMT19-document-level.6808,0.8323306441,1229
Microsoft-WMT19-document-level.6808,0.7457465529,1230
Microsoft-WMT19-document-level.6808,0.7078554034,1246
Microsoft-WMT19-document-level.6808,0.8653083444,1253
Microsoft-WMT19-document-level.6808,0.8720620275,481
Microsoft-WMT19-document-level.6808,0.8979972005,484
Microsoft-WMT19-document-level.6808,0.8240984082,1731
Microsoft-WMT19-document-level.6808,0.7905322313,1733
Microsoft-WMT19-document-level.6808,0.6910066009,1740
Microsoft-WMT19-document-level.6808,0.8657549024,1951
Microsoft-WMT19-document-level.6808,0.8681609035,1955
Microsoft-WMT19-document-level.6808,0.8264667392,1959
Microsoft-WMT19-document-level.6808,0.7679225802,1904
Microsoft-WMT19-document-level.6808,0.5509637594,1908
Microsoft-WMT19-document-level.6808,0.6996482015,1328
Microsoft-WMT19-document-level.6808,0.8162714839,377
Microsoft-WMT19-document-level.6808,0.5857852101,141
Microsoft-WMT19-document-level.6808,0.8254206181,1789
Microsoft-WMT19-document-level.6808,0.9015375376,1221
Microsoft-WMT19-document-level.6808,0.8021660447,1223
Microsoft-WMT19-document-level.6808,0.8443698287,1832
Microsoft-WMT19-document-level.6808,0.8225045204,1833
Microsoft-WMT19-document-level.6808,0.7966489196,1417
Microsoft-WMT19-document-level.6808,0.7931622863,992
Microsoft-WMT19-document-level.6808,0.8648149967,996
Microsoft-WMT19-document-level.6808,0.8621944189,1001
Microsoft-WMT19-document-level.6808,0.7770201564,990
Microsoft-WMT19-document-level.6808,0.7972717285,995
Microsoft-WMT19-document-level.6808,0.892444551,1000
Microsoft-WMT19-document-level.6808,0.7691057324,1254
Microsoft-WMT19-document-level.6808,0.8481745124,1271
Microsoft-WMT19-document-level.6808,0.7706785798,1556
Microsoft-WMT19-document-level.6808,0.8806845546,1557
Microsoft-WMT19-document-level.6808,0.9162538052,1562
Microsoft-WMT19-document-level.6808,0.8991904259,1564
Microsoft-WMT19-document-level.6808,0.8415042758,1571
Microsoft-WMT19-document-level.6808,0.6028501391,396
Microsoft-WMT19-document-level.6808,0.7163607478,417
Microsoft-WMT19-document-level.6808,0.9374913573,419
Microsoft-WMT19-document-level.6808,0.9198413491,817
Microsoft-WMT19-document-level.6808,0.7801845074,229
Microsoft-WMT19-document-level.6808,0.7004724741,236
Microsoft-WMT19-document-level.6808,0.8092949986,237
Microsoft-WMT19-document-level.6808,0.6735506654,241
Microsoft-WMT19-document-level.6808,0.7035447359,1297
Microsoft-WMT19-document-level.6808,0.9372646809,1306
Microsoft-WMT19-document-level.6808,0.9034741521,1307
Microsoft-WMT19-document-level.6808,0.8735712767,1308
Microsoft-WMT19-document-level.6808,0.770802319,227
Microsoft-WMT19-document-level.6808,0.9737836719,1921
Microsoft-WMT19-document-level.6808,0.4815934896,1914
Microsoft-WMT19-document-level.6808,0.9089238048,1920
Microsoft-WMT19-document-level.6808,0.9178876877,1922
Microsoft-WMT19-document-level.6808,1.001606345,1933
Microsoft-WMT19-document-level.6808,0.7723686099,1525
Microsoft-WMT19-document-level.6808,0.7652844787,1533
Microsoft-WMT19-document-level.6808,0.7892483473,1540
Microsoft-WMT19-document-level.6808,0.9038128853,1528
Microsoft-WMT19-document-level.6808,0.7966342568,1622
Microsoft-WMT19-document-level.6808,0.8115366697,979
Microsoft-WMT19-document-level.6808,0.9298921227,1481
Microsoft-WMT19-document-level.6808,0.876963079,1482
Microsoft-WMT19-document-level.6808,0.6433699131,5
Microsoft-WMT19-document-level.6808,0.7172122598,840
Microsoft-WMT19-document-level.6808,0.7688199878,843
Microsoft-WMT19-document-level.6808,0.7203739285,846
Microsoft-WMT19-document-level.6808,0.5597781539,849
Microsoft-WMT19-document-level.6808,0.789296329,853
Microsoft-WMT19-document-level.6808,0.8866859078,554
Microsoft-WMT19-document-level.6808,0.4766872525,556
Microsoft-WMT19-document-level.6808,0.5683509707,549
Microsoft-WMT19-document-level.6808,0.7285560966,1063
Microsoft-WMT19-document-level.6808,0.8614447713,748
Microsoft-WMT19-document-level.6808,0.8494076729,764
Microsoft-WMT19-document-level.6808,0.8528536558,768
Microsoft-WMT19-document-level.6808,0.90589571,1695
Microsoft-WMT19-document-level.6808,0.8170419931,1693
Microsoft-WMT19-document-level.6808,0.7517781258,444
Microsoft-WMT19-document-level.6808,0.8248198628,731
Microsoft-WMT19-document-level.6808,0.8839650154,736
Microsoft-WMT19-document-level.6808,0.9025251865,611
Microsoft-WMT19-document-level.6808,0.7404454947,615
Microsoft-WMT19-document-level.6808,0.7316690683,620
Microsoft-WMT19-document-level.6808,0.7659663558,625
Microsoft-WMT19-document-level.6808,0.8506215215,1633
Microsoft-WMT19-document-level.6808,0.7281848788,1634
Microsoft-WMT19-document-level.6808,0.8758500218,1639
Microsoft-WMT19-document-level.6808,0.8248856664,1184
Microsoft-WMT19-document-level.6808,0.666467011,1185
Microsoft-WMT19-document-level.6808,0.6727784872,1186
Microsoft-WMT19-document-level.6808,0.1177695543,1188
Microsoft-WMT19-document-level.6808,0.5458876491,1190
Microsoft-WMT19-document-level.6808,0.4743769765,1198
